Timestamp,CPU,Memory,GPU,GPU_Memory
2024-05-25 08:33:59,8.7,5083.78125,0.02,1529.0
2024-05-25 08:34:01,19.1,5083.67578125,0.08,1533.0
2024-05-25 08:34:03,27.9,5102.07421875,0.3,1533.0
2024-05-25 08:34:05,18.3,5077.05078125,0.27,1531.0
2024-05-25 08:34:08,18.9,5079.93359375,0.32,1533.0
2024-05-25 08:34:10,19.3,5099.9765625,0.26,1533.0
2024-05-25 08:34:12,19.1,5083.109375,0.29,1533.0
2024-05-25 08:34:14,25.9,5085.57421875,0.16,1533.0
2024-05-25 08:34:16,18.5,5085.82421875,0.12,1533.0
2024-05-25 08:34:18,19.1,5077.421875,0.12,1533.0
2024-05-25 08:34:20,18.5,5088.41796875,0.27,1533.0
2024-05-25 08:34:22,17.7,5088.421875,0.29,1533.0
2024-05-25 08:34:25,24.9,5089.0078125,0.29,1533.0
2024-05-25 08:34:27,16.7,5083.65625,0.35,1533.0
2024-05-25 08:34:29,17.0,5080.1640625,0.37,1533.0
2024-05-25 08:34:31,17.2,5085.9453125,0.33,1533.0
2024-05-25 08:34:33,17.1,5092.80078125,0.25,1533.0
2024-05-25 08:34:35,24.2,5089.13671875,0.4,1533.0
2024-05-25 08:34:37,16.9,5093.5078125,0.2,1533.0
2024-05-25 08:34:39,16.7,5093.7734375,0.29,1533.0
2024-05-25 08:34:42,16.8,5100.8828125,0.27,1533.0
2024-05-25 08:34:44,16.9,5101.82421875,0.2,1533.0
2024-05-25 08:34:46,24.3,5106.9140625,0.24,1533.0
2024-05-25 08:34:48,16.7,5086.453125,0.13,1533.0
2024-05-25 08:34:50,17.0,5091.16015625,0.25,1533.0
2024-05-25 08:34:52,17.4,5096.9765625,0.27,1533.0
2024-05-25 08:34:54,16.7,5083.62890625,0.41,1533.0
2024-05-25 08:34:57,23.8,5097.09765625,0.09,1533.0
2024-05-25 08:34:59,17.0,5107.0,0.26,1533.0
2024-05-25 08:35:01,19.3,5133.82421875,0.12,1533.0
2024-05-25 08:35:03,18.3,5091.02734375,0.14,1533.0
2024-05-25 08:35:05,18.3,5085.83203125,0.22,1533.0
2024-05-25 08:35:07,19.1,5090.6328125,0.14,1533.0
2024-05-25 08:35:10,21.0,5093.50390625,0.15,1533.0
2024-05-25 08:35:12,24.9,5095.91015625,0.28,1533.0
2024-05-25 08:35:14,18.3,5091.12890625,0.21,1533.0
2024-05-25 08:35:16,18.8,5100.6796875,0.37,1533.0
2024-05-25 08:35:18,18.9,5092.98828125,0.22,1533.0
2024-05-25 08:35:20,18.6,5093.8125,0.12,1533.0
2024-05-25 08:35:22,25.5,5095.765625,0.13,1533.0
2024-05-25 08:35:24,19.7,5110.42578125,0.32,1533.0
2024-05-25 08:35:27,18.3,5091.51171875,0.3,1533.0
2024-05-25 08:35:29,19.0,5090.20703125,0.23,1533.0
2024-05-25 08:35:31,18.2,5089.54296875,0.34,1533.0
2024-05-25 08:35:33,29.7,5111.53125,0.34,1533.0
2024-05-25 08:35:35,18.9,5083.57421875,0.13,1533.0
2024-05-25 08:35:37,19.4,5086.79296875,0.46,1533.0
2024-05-25 08:35:39,18.3,5115.00390625,0.23,1533.0
2024-05-25 08:35:42,18.4,5095.953125,0.47,1533.0
2024-05-25 08:35:44,24.7,5091.078125,0.25,1533.0
2024-05-25 08:35:46,22.9,5085.4296875,0.01,1529.0
