Timestamp,CPU,Memory,GPU,GPU_Memory
2024-05-25 08:44:37,6.9,5138.921875,0.0,1529.0
2024-05-25 08:44:40,24.6,5071.72265625,0.02,1533.0
2024-05-25 08:44:42,17.3,5068.3046875,0.27,1533.0
2024-05-25 08:44:44,16.7,5079.54296875,0.34,1531.0
2024-05-25 08:44:46,16.8,5078.85546875,0.17,1533.0
2024-05-25 08:44:48,16.8,5072.8984375,0.14,1533.0
2024-05-25 08:44:50,19.3,5089.34375,0.16,1533.0
2024-05-25 08:44:52,17.5,5090.1171875,0.14,1533.0
2024-05-25 08:44:54,21.9,5109.56640625,0.14,1533.0
2024-05-25 08:44:57,18.5,5078.87890625,0.19,1533.0
2024-05-25 08:44:59,18.7,5074.23828125,0.19,1533.0
2024-05-25 08:45:01,19.0,5080.8984375,0.28,1533.0
2024-05-25 08:45:03,18.7,5080.578125,0.14,1533.0
2024-05-25 08:45:05,25.8,5065.0234375,0.15,1533.0
2024-05-25 08:45:07,19.3,5071.65625,0.31,1533.0
2024-05-25 08:45:09,20.3,5071.86328125,0.34,1533.0
2024-05-25 08:45:11,18.7,5080.1875,0.27,1533.0
2024-05-25 08:45:14,19.0,5078.40625,0.45,1533.0
2024-05-25 08:45:16,26.5,5076.8984375,0.22,1533.0
2024-05-25 08:45:18,18.4,5073.015625,0.33,1533.0
2024-05-25 08:45:20,19.3,5074.640625,0.27,1533.0
2024-05-25 08:45:22,18.6,5085.17578125,0.41,1533.0
2024-05-25 08:45:24,18.3,5079.09375,0.57,1533.0
2024-05-25 08:45:26,25.4,5079.21484375,0.19,1533.0
2024-05-25 08:45:29,18.3,5082.79296875,0.14,1533.0
2024-05-25 08:45:31,18.5,5078.48046875,0.34,1533.0
2024-05-25 08:45:33,18.9,5089.66015625,0.51,1533.0
2024-05-25 08:45:35,18.3,5089.0703125,0.44,1533.0
2024-05-25 08:45:37,27.1,5079.02734375,0.26,1533.0
2024-05-25 08:45:39,17.1,5079.125,0.25,1533.0
2024-05-25 08:45:41,17.5,5087.39453125,0.15,1533.0
2024-05-25 08:45:43,16.9,5079.88671875,0.13,1533.0
2024-05-25 08:45:46,16.9,5077.76953125,0.29,1533.0
2024-05-25 08:45:48,23.0,5086.4921875,0.37,1533.0
2024-05-25 08:45:50,16.8,5078.171875,0.47,1533.0
2024-05-25 08:45:52,16.8,5081.953125,0.23,1533.0
2024-05-25 08:45:54,17.1,5071.1953125,0.24,1533.0
2024-05-25 08:45:56,16.6,5074.8828125,0.39,1533.0
2024-05-25 08:45:58,24.6,5079.72265625,0.22,1533.0
2024-05-25 08:46:00,17.1,5070.875,0.46,1533.0
2024-05-25 08:46:03,19.4,5101.69921875,0.21,1533.0
2024-05-25 08:46:05,16.9,5069.484375,0.17,1533.0
2024-05-25 08:46:07,16.6,5074.14453125,0.41,1533.0
2024-05-25 08:46:09,19.4,5086.84765625,0.29,1533.0
2024-05-25 08:46:11,16.6,5092.24609375,0.09,1533.0
2024-05-25 08:46:13,24.2,5083.625,0.19,1533.0
2024-05-25 08:46:16,17.5,5080.43359375,0.01,1533.0
2024-05-25 08:46:18,18.9,5074.1328125,0.27,1533.0
2024-05-25 08:46:20,18.2,5071.3046875,0.41,1533.0
2024-05-25 08:46:22,18.1,5063.14453125,0.19,1533.0
2024-05-25 08:46:24,29.3,5076.1015625,0.01,1529.0
