Timestamp,CPU,Memory,GPU,GPU_Memory
2024-05-25 08:48:53,8.2,5143.55078125,0.0,1530.0
2024-05-25 08:48:55,18.6,5080.53125,0.37,1533.0
2024-05-25 08:48:57,24.6,5089.8125,0.34,1533.0
2024-05-25 08:48:59,18.5,5081.92578125,0.29,1535.0
2024-05-25 08:49:01,18.3,5088.4765625,0.27,1535.0
2024-05-25 08:49:03,17.5,5087.0625,0.27,1535.0
2024-05-25 08:49:05,17.6,5078.89453125,0.29,1535.0
2024-05-25 08:49:08,20.2,5082.69140625,0.18,1533.0
2024-05-25 08:49:10,16.8,5090.21875,0.23,1533.0
2024-05-25 08:49:12,21.4,5119.89453125,0.22,1533.0
2024-05-25 08:49:14,16.8,5085.8671875,0.21,1534.0
2024-05-25 08:49:16,16.9,5080.66015625,0.12,1534.0
2024-05-25 08:49:18,17.9,5084.6796875,0.28,1534.0
2024-05-25 08:49:20,16.6,5085.14453125,0.28,1534.0
2024-05-25 08:49:22,24.0,5084.8359375,0.49,1534.0
2024-05-25 08:49:25,17.0,5103.4296875,0.28,1534.0
2024-05-25 08:49:27,16.8,5091.3125,0.27,1534.0
2024-05-25 08:49:29,17.1,5085.30859375,0.12,1534.0
2024-05-25 08:49:31,16.9,5097.8359375,0.47,1534.0
2024-05-25 08:49:33,24.5,5103.3984375,0.33,1534.0
2024-05-25 08:49:35,16.7,5096.3203125,0.37,1534.0
2024-05-25 08:49:37,16.8,5101.33203125,0.22,1534.0
2024-05-25 08:49:39,16.9,5097.18359375,0.2,1534.0
2024-05-25 08:49:42,16.8,5089.08203125,0.0,1534.0
2024-05-25 08:49:44,24.4,5100.32421875,0.44,1534.0
2024-05-25 08:49:46,17.0,5100.9609375,0.34,1534.0
2024-05-25 08:49:48,17.5,5093.5625,0.13,1534.0
2024-05-25 08:49:50,17.9,5097.6015625,0.01,1534.0
2024-05-25 08:49:52,18.9,5101.609375,0.26,1534.0
2024-05-25 08:49:54,26.4,5108.20703125,0.13,1534.0
2024-05-25 08:49:56,19.0,5101.8203125,0.14,1534.0
2024-05-25 08:49:59,19.3,5096.2890625,0.3,1534.0
2024-05-25 08:50:01,18.9,5102.8359375,0.27,1534.0
2024-05-25 08:50:03,18.6,5100.23828125,0.14,1534.0
2024-05-25 08:50:05,26.9,5097.4453125,0.23,1534.0
2024-05-25 08:50:07,18.6,5086.19140625,0.27,1534.0
2024-05-25 08:50:09,23.1,5095.21484375,0.34,1534.0
2024-05-25 08:50:11,18.9,5091.8515625,0.19,1534.0
2024-05-25 08:50:14,18.5,5102.15234375,0.01,1534.0
2024-05-25 08:50:16,24.9,5095.14453125,0.45,1534.0
2024-05-25 08:50:18,19.0,5108.39453125,0.19,1533.0
2024-05-25 08:50:20,22.8,5126.4140625,0.37,1533.0
2024-05-25 08:50:22,18.2,5094.640625,0.51,1533.0
2024-05-25 08:50:24,22.0,5109.98046875,0.31,1533.0
2024-05-25 08:50:26,22.4,5097.83984375,0.11,1533.0
2024-05-25 08:50:28,18.1,5107.89453125,0.24,1533.0
2024-05-25 08:50:30,23.3,5127.3359375,0.01,1533.0
2024-05-25 08:50:33,18.3,5106.953125,0.37,1533.0
2024-05-25 08:50:35,18.6,5115.44921875,0.32,1533.0
2024-05-25 08:50:37,18.0,5112.96484375,0.24,1533.0
2024-05-25 08:50:39,24.5,5106.90234375,0.01,1529.0
