Timestamp,CPU,Memory,GPU,GPU_Memory
2024-05-25 07:36:26,7.1,5093.30078125,0.01,1536.0
2024-05-25 07:36:28,16.8,4990.703125,0.33,1539.0
2024-05-25 07:36:30,16.7,4983.4765625,0.15,1539.0
2024-05-25 07:36:32,24.6,4993.0703125,0.24,1540.0
2024-05-25 07:36:34,17.4,4991.30859375,0.17,1540.0
2024-05-25 07:36:36,17.0,4993.671875,0.25,1540.0
2024-05-25 07:36:38,16.7,4998.37109375,0.33,1540.0
2024-05-25 07:36:40,16.7,4998.83203125,0.15,1540.0
2024-05-25 07:36:42,24.5,4995.3203125,0.26,1540.0
2024-05-25 07:36:45,17.3,4992.8359375,0.27,1540.0
2024-05-25 07:36:47,17.2,4991.5,0.11,1540.0
2024-05-25 07:36:49,17.0,4978.328125,0.12,1540.0
2024-05-25 07:36:51,17.2,4966.53515625,0.38,1540.0
2024-05-25 07:36:53,24.1,4994.0625,0.29,1540.0
2024-05-25 07:36:55,16.8,4968.41015625,0.56,1540.0
2024-05-25 07:36:57,16.9,4961.671875,0.28,1540.0
2024-05-25 07:36:59,17.0,4974.0625,0.26,1540.0
2024-05-25 07:37:01,16.8,4984.76953125,0.13,1540.0
2024-05-25 07:37:04,25.0,4961.54296875,0.2,1540.0
2024-05-25 07:37:06,17.2,4962.75390625,0.26,1540.0
2024-05-25 07:37:08,16.9,4961.1953125,0.36,1540.0
2024-05-25 07:37:10,16.8,4974.8828125,0.21,1540.0
2024-05-25 07:37:12,16.9,4978.28125,0.3,1540.0
2024-05-25 07:37:14,24.4,4959.8359375,0.07,1540.0
2024-05-25 07:37:16,17.2,4961.07421875,0.22,1540.0
2024-05-25 07:37:18,17.5,4961.40234375,0.27,1540.0
2024-05-25 07:37:20,17.9,4967.578125,0.24,1540.0
2024-05-25 07:37:23,18.0,4957.84765625,0.08,1540.0
2024-05-25 07:37:25,25.9,4966.5859375,0.28,1540.0
2024-05-25 07:37:27,18.5,4966.96875,0.17,1540.0
2024-05-25 07:37:29,19.3,4971.234375,0.24,1540.0
2024-05-25 07:37:31,18.6,4978.75,0.2,1541.0
2024-05-25 07:37:33,18.5,4969.421875,0.35,1541.0
2024-05-25 07:37:35,25.5,4967.0390625,0.15,1541.0
2024-05-25 07:37:37,18.1,4953.203125,0.37,1541.0
2024-05-25 07:37:40,18.9,4964.28515625,0.22,1541.0
2024-05-25 07:37:42,18.3,4963.9453125,0.17,1541.0
2024-05-25 07:37:44,18.5,4963.0,0.15,1541.0
2024-05-25 07:37:46,22.2,4964.34765625,0.13,1541.0
2024-05-25 07:37:48,19.0,4961.171875,0.13,1541.0
2024-05-25 07:37:50,23.0,4978.640625,0.32,1541.0
2024-05-25 07:37:52,18.7,4999.9609375,0.27,1541.0
2024-05-25 07:37:54,18.6,4965.2578125,0.43,1541.0
2024-05-25 07:37:56,22.1,4970.296875,0.43,1541.0
2024-05-25 07:37:59,18.4,4970.421875,0.19,1541.0
2024-05-25 07:38:01,20.6,4997.24609375,0.02,1541.0
2024-05-25 07:38:03,18.2,4968.734375,0.02,1541.0
2024-05-25 07:38:05,18.7,4966.50390625,0.43,1541.0
2024-05-25 07:38:07,21.4,4967.828125,0.27,1541.0
2024-05-25 07:38:09,19.2,4961.12890625,0.14,1541.0
2024-05-25 07:38:11,29.4,4983.54296875,0.02,1537.0
