Timestamp,CPU,Memory,GPU,GPU_Memory
2024-05-25 09:33:43,5.6,5140.3203125,0.0,1529.0
2024-05-25 09:33:45,16.7,5119.828125,0.27,1533.0
2024-05-25 09:33:47,17.5,5121.5859375,0.14,1533.0
2024-05-25 09:33:49,17.0,5124.73828125,0.28,1533.0
2024-05-25 09:33:52,23.6,5132.37890625,0.18,1533.0
2024-05-25 09:33:54,16.8,5132.71484375,0.3,1533.0
2024-05-25 09:33:56,16.9,5121.5546875,0.27,1533.0
2024-05-25 09:33:58,17.5,5115.4375,0.05,1533.0
2024-05-25 09:34:00,17.1,5126.90234375,0.01,1533.0
2024-05-25 09:34:02,25.1,5126.7265625,0.51,1533.0
2024-05-25 09:34:04,17.1,5124.23046875,0.23,1533.0
2024-05-25 09:34:07,16.9,5131.77734375,0.21,1533.0
2024-05-25 09:34:09,17.5,5122.58203125,0.34,1533.0
2024-05-25 09:34:11,18.3,5125.1640625,0.19,1533.0
2024-05-25 09:34:13,26.2,5128.6640625,0.43,1533.0
2024-05-25 09:34:15,18.8,5129.609375,0.25,1533.0
2024-05-25 09:34:17,19.4,5121.76171875,0.31,1533.0
2024-05-25 09:34:19,19.3,5133.546875,0.01,1533.0
2024-05-25 09:34:21,18.3,5128.7734375,0.22,1533.0
2024-05-25 09:34:24,26.7,5123.92578125,0.38,1533.0
2024-05-25 09:34:26,18.8,5131.4609375,0.41,1533.0
2024-05-25 09:34:28,22.3,5124.484375,0.17,1533.0
2024-05-25 09:34:30,19.7,5121.21484375,0.24,1533.0
2024-05-25 09:34:32,18.6,5120.01171875,0.34,1533.0
2024-05-25 09:34:34,27.1,5097.81640625,0.21,1533.0
2024-05-25 09:34:36,19.1,5092.3984375,0.31,1533.0
2024-05-25 09:34:38,18.3,5093.25,0.33,1533.0
2024-05-25 09:34:41,19.2,5107.38671875,0.2,1533.0
2024-05-25 09:34:43,18.9,5100.6953125,0.29,1533.0
2024-05-25 09:34:45,25.7,5101.546875,0.42,1533.0
2024-05-25 09:34:47,19.3,5107.37890625,0.46,1533.0
2024-05-25 09:34:49,19.1,5126.09375,0.11,1533.0
2024-05-25 09:34:51,19.3,5099.87890625,0.3,1533.0
2024-05-25 09:34:53,19.1,5111.015625,0.4,1533.0
2024-05-25 09:34:56,20.2,5105.87109375,0.17,1533.0
2024-05-25 09:34:58,17.0,5108.20703125,0.27,1533.0
2024-05-25 09:35:00,23.7,5101.2734375,0.11,1533.0
2024-05-25 09:35:02,16.9,5100.41796875,0.33,1533.0
2024-05-25 09:35:04,17.1,5108.98828125,0.17,1533.0
2024-05-25 09:35:06,16.9,5110.11328125,0.45,1533.0
2024-05-25 09:35:08,16.9,5118.921875,0.19,1533.0
2024-05-25 09:35:11,27.3,5110.9609375,0.24,1533.0
2024-05-25 09:35:13,16.8,5110.13671875,0.14,1533.0
2024-05-25 09:35:15,16.9,5104.9140625,0.54,1533.0
2024-05-25 09:35:17,16.8,5101.84765625,0.21,1533.0
2024-05-25 09:35:19,16.9,5094.17578125,0.14,1533.0
2024-05-25 09:35:21,24.5,5095.0859375,0.25,1533.0
2024-05-25 09:35:23,17.0,5094.52734375,0.25,1533.0
2024-05-25 09:35:26,16.7,5088.6875,0.28,1533.0
2024-05-25 09:35:28,17.1,5089.09765625,0.12,1533.0
