Timestamp,CPU,Memory,GPU,GPU_Memory
2024-05-25 06:27:17,37.8,5624.8828125,0.04,2289.0
2024-05-25 06:27:19,18.7,4943.2578125,0.45,2365.0
2024-05-25 06:27:21,20.1,4951.0078125,0.43,2368.0
2024-05-25 06:27:23,18.9,4946.28515625,0.47,2368.0
2024-05-25 06:27:26,26.4,4952.90234375,0.01,2368.0
2024-05-25 06:27:28,18.3,4950.05078125,0.23,2368.0
2024-05-25 06:27:30,18.6,4957.8125,0.33,2368.0
2024-05-25 06:27:32,19.2,4953.33203125,0.22,2367.0
2024-05-25 06:27:34,18.2,4956.83203125,0.22,2367.0
2024-05-25 06:27:36,23.3,4942.5859375,0.22,2367.0
2024-05-25 06:27:38,21.9,4938.4765625,0.62,2367.0
2024-05-25 06:27:40,19.2,4952.90234375,0.65,2367.0
2024-05-25 06:27:43,18.6,4939.0390625,0.43,2367.0
2024-05-25 06:27:45,18.2,4943.13671875,0.36,2367.0
2024-05-25 06:27:47,19.0,4958.578125,0.43,2367.0
2024-05-25 06:27:49,17.2,4945.96484375,0.33,2367.0
2024-05-25 06:27:51,21.7,4973.96875,0.28,2367.0
2024-05-25 06:27:53,16.9,4933.4296875,0.43,2367.0
2024-05-25 06:27:55,17.3,4945.671875,0.54,2367.0
2024-05-25 06:27:57,19.2,4954.23828125,0.43,2367.0
2024-05-25 06:27:59,16.8,4956.44140625,0.64,2367.0
2024-05-25 06:28:02,23.3,4947.52734375,0.41,2367.0
2024-05-25 06:28:04,17.0,4941.30078125,0.35,2367.0
2024-05-25 06:28:06,17.1,4946.15234375,0.22,2369.0
2024-05-25 06:28:08,20.8,4940.859375,0.31,2369.0
2024-05-25 06:28:10,17.3,4944.69921875,0.01,2369.0
2024-05-25 06:28:12,24.4,4948.734375,0.43,2369.0
2024-05-25 06:28:14,17.1,4948.9375,0.43,2369.0
2024-05-25 06:28:16,16.9,4942.86328125,0.35,2369.0
2024-05-25 06:28:19,16.9,4957.06640625,0.22,2369.0
2024-05-25 06:28:21,16.8,4951.92578125,0.51,2369.0
2024-05-25 06:28:23,23.3,4954.11328125,0.4,2369.0
2024-05-25 06:28:25,16.6,4950.90625,0.27,2369.0
2024-05-25 06:28:27,16.8,4957.2109375,0.33,2369.0
2024-05-25 06:28:29,16.9,4955.68359375,0.41,2369.0
2024-05-25 06:28:31,16.7,4945.49609375,0.34,2369.0
2024-05-25 06:28:33,23.8,4952.15625,0.47,2369.0
2024-05-25 06:28:35,16.8,4948.37890625,0.3,2369.0
2024-05-25 06:28:37,17.0,4947.76171875,0.43,2369.0
2024-05-25 06:28:40,16.8,4942.94140625,0.43,2369.0
2024-05-25 06:28:42,17.0,4947.5078125,0.44,2369.0
2024-05-25 06:28:44,24.4,4943.19921875,0.22,2369.0
2024-05-25 06:28:46,16.9,4947.078125,0.44,2369.0
2024-05-25 06:28:48,17.0,4946.8125,0.22,2369.0
2024-05-25 06:28:50,16.8,4948.58984375,0.09,2369.0
2024-05-25 06:28:52,16.7,4954.39453125,0.26,2369.0
2024-05-25 06:28:54,23.9,4961.0390625,0.63,2369.0
2024-05-25 06:28:56,17.0,4950.19140625,0.12,2369.0
2024-05-25 06:28:59,17.1,4944.94921875,0.43,2369.0
2024-05-25 06:29:01,17.9,4945.55078125,0.43,2369.0
2024-05-25 06:29:03,18.3,4956.8046875,0.35,2369.0
2024-05-25 06:29:05,26.2,4957.6640625,0.53,2369.0
2024-05-25 06:29:07,19.2,4958.875,0.24,2369.0
2024-05-25 06:29:09,18.8,4955.765625,0.2,2369.0
2024-05-25 06:29:11,18.6,4950.5546875,0.32,2369.0
2024-05-25 06:29:13,18.4,4951.8828125,0.25,2369.0
2024-05-25 06:29:16,25.8,4953.2265625,0.61,2369.0
2024-05-25 06:29:18,21.8,4963.94140625,0.29,2369.0
2024-05-25 06:29:20,26.6,4950.30859375,0.01,2369.0
