Timestamp,CPU,Memory,GPU,GPU_Memory
2024-05-25 04:09:03,40.3,5204.265625,0.05,2273.0
2024-05-25 04:09:05,17.0,4912.96484375,0.29,2349.0
2024-05-25 04:09:07,17.2,4784.94140625,0.36,2349.0
2024-05-25 04:09:09,16.9,4779.7734375,0.27,2349.0
2024-05-25 04:09:11,16.7,4786.05859375,0.23,2349.0
2024-05-25 04:09:14,24.4,4788.40234375,0.48,2346.0
2024-05-25 04:09:16,16.7,4787.484375,0.24,2346.0
2024-05-25 04:09:18,17.0,4787.3359375,0.23,2346.0
2024-05-25 04:09:20,16.7,4794.6328125,0.4,2346.0
2024-05-25 04:09:22,17.0,4788.6953125,0.69,2346.0
2024-05-25 04:09:24,23.8,4789.0078125,0.22,2346.0
2024-05-25 04:09:26,17.2,4802.83984375,0.23,2346.0
2024-05-25 04:09:28,16.9,4795.31640625,0.36,2346.0
2024-05-25 04:09:30,16.9,4803.67578125,0.37,2346.0
2024-05-25 04:09:33,16.9,4802.1875,0.43,2346.0
2024-05-25 04:09:35,23.6,4796.5078125,0.6,2346.0
2024-05-25 04:09:37,16.7,4797.140625,0.41,2346.0
2024-05-25 04:09:39,17.1,4782.6328125,0.43,2346.0
2024-05-25 04:09:41,16.9,4781.81640625,0.42,2346.0
2024-05-25 04:09:43,16.7,4800.875,0.55,2346.0
2024-05-25 04:09:45,24.2,4799.5390625,0.44,2347.0
2024-05-25 04:09:47,16.8,4794.3203125,0.29,2347.0
2024-05-25 04:09:50,16.8,4785.19140625,0.29,2347.0
2024-05-25 04:09:52,17.2,4792.6484375,0.29,2349.0
2024-05-25 04:09:54,17.0,4797.046875,0.57,2349.0
2024-05-25 04:09:56,24.0,4792.65234375,0.23,2349.0
2024-05-25 04:09:58,16.7,4792.0703125,0.36,2349.0
2024-05-25 04:10:00,17.2,4788.5625,0.22,2349.0
2024-05-25 04:10:02,18.0,4796.21484375,0.44,2349.0
2024-05-25 04:10:04,19.7,4801.4765625,0.34,2349.0
2024-05-25 04:10:06,26.9,4784.4453125,0.37,2349.0
2024-05-25 04:10:09,18.8,4786.10546875,0.24,2349.0
2024-05-25 04:10:11,18.4,4780.6640625,0.34,2349.0
2024-05-25 04:10:13,19.3,4788.37109375,0.22,2349.0
2024-05-25 04:10:15,18.6,4794.2734375,0.22,2349.0
2024-05-25 04:10:17,25.2,4793.37890625,0.23,2349.0
2024-05-25 04:10:19,17.9,4788.17578125,0.44,2349.0
2024-05-25 04:10:21,20.0,4787.2421875,0.42,2349.0
2024-05-25 04:10:23,19.1,4785.13671875,0.01,2349.0
2024-05-25 04:10:25,18.6,4792.2265625,0.58,2349.0
2024-05-25 04:10:27,25.5,4797.50390625,0.59,2349.0
2024-05-25 04:10:30,18.6,4794.7109375,0.51,2349.0
2024-05-25 04:10:32,19.5,4791.53515625,0.43,2349.0
2024-05-25 04:10:34,18.7,4814.05078125,0.43,2349.0
2024-05-25 04:10:36,18.8,4785.99609375,0.37,2349.0
2024-05-25 04:10:38,26.0,4793.3046875,0.22,2349.0
2024-05-25 04:10:40,19.1,4791.2890625,0.43,2349.0
2024-05-25 04:10:42,18.8,4776.515625,0.22,2349.0
2024-05-25 04:10:44,18.2,4789.84375,0.22,2349.0
2024-05-25 04:10:46,18.3,4785.27734375,0.22,2349.0
2024-05-25 04:10:48,25.9,4798.578125,0.22,2349.0
2024-05-25 04:10:51,19.9,4800.796875,0.66,2349.0
2024-05-25 04:10:53,18.6,4794.8515625,0.26,2349.0
2024-05-25 04:10:55,18.6,4782.04296875,0.31,2349.0
2024-05-25 04:10:57,19.1,4784.171875,0.01,2349.0
2024-05-25 04:10:59,25.4,4781.4609375,0.35,2349.0
2024-05-25 04:11:01,18.5,4782.16015625,0.23,2349.0
2024-05-25 04:11:03,18.7,4789.9375,0.43,2349.0
2024-05-25 04:11:05,18.3,4800.26953125,0.57,2349.0
2024-05-25 04:11:07,5.1,4797.78125,0.02,2273.0
