Timestamp,CPU,Memory,GPU,GPU_Memory
2024-05-25 05:13:29,38.6,5661.5,0.39,2283.0
2024-05-25 05:13:31,19.1,4934.515625,0.77,2344.0
2024-05-25 05:13:33,26.3,4962.65625,0.74,2344.0
2024-05-25 05:13:35,18.6,4933.390625,0.77,2342.0
2024-05-25 05:13:37,19.0,4930.00390625,0.61,2342.0
2024-05-25 05:13:39,21.2,4948.29296875,0.76,2342.0
2024-05-25 05:13:41,18.0,4941.57421875,0.81,2342.0
2024-05-25 05:13:43,26.0,4941.3359375,0.67,2342.0
2024-05-25 05:13:45,17.2,4940.37109375,0.75,2342.0
2024-05-25 05:13:47,17.1,4928.51953125,0.79,2342.0
2024-05-25 05:13:50,16.8,4935.70703125,0.74,2342.0
2024-05-25 05:13:52,16.7,4938.6484375,0.74,2342.0
2024-05-25 05:13:54,24.6,4943.52734375,0.85,2342.0
2024-05-25 05:13:56,17.0,4935.58984375,0.72,2342.0
2024-05-25 05:13:58,16.8,4935.98046875,0.82,2342.0
2024-05-25 05:14:00,17.0,4946.05859375,0.76,2342.0
2024-05-25 05:14:02,16.9,4944.171875,0.72,2342.0
2024-05-25 05:14:04,28.5,4937.06640625,0.01,2282.0
