Timestamp,CPU,Memory,GPU,GPU_Memory
2024-05-25 05:21:35,32.8,5652.390625,0.03,2283.0
2024-05-25 05:21:37,17.0,4931.4296875,0.73,2347.0
2024-05-25 05:21:39,16.7,4929.2734375,0.81,2347.0
2024-05-25 05:21:41,24.1,4927.8203125,0.63,2342.0
2024-05-25 05:21:44,17.1,4931.03125,0.75,2342.0
2024-05-25 05:21:46,17.5,4929.45703125,0.52,2342.0
2024-05-25 05:21:48,17.4,4936.87109375,0.71,2342.0
2024-05-25 05:21:50,16.8,4931.4375,0.65,2342.0
2024-05-25 05:21:52,21.8,4964.33203125,0.58,2342.0
2024-05-25 05:21:54,16.8,4950.28125,0.76,2343.0
2024-05-25 05:21:56,17.1,4949.6484375,0.77,2343.0
2024-05-25 05:21:58,20.6,4948.25,0.71,2343.0
2024-05-25 05:22:00,17.0,4947.7109375,0.79,2343.0
2024-05-25 05:22:02,17.3,4955.4140625,0.65,2343.0
2024-05-25 05:22:04,16.7,4972.0859375,0.76,2343.0
2024-05-25 05:22:06,17.1,4942.7265625,0.63,2343.0
2024-05-25 05:22:08,24.8,4932.33203125,0.85,2343.0
2024-05-25 05:22:11,24.9,4931.06640625,0.01,2343.0
